id,invoice,totalSaleAmount,invoiceDate,deliveryDate,name,description,sku,protectionPlanName,protectionPlanDuration,protectionPlanPrice,protectionPlanSku,protectionPlanPeriod,customerId,createdAt,updatedAt
954d20e4-3460-4203-b545-3afc98d26f10,tkzfok597q,896,2022-01-28 18:56:04.131+00,2021-04-18 08:07:50.334+00,Intelligent Soft Tuna,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",px5sk,Adjustable Mattress Base Protection Plan,5,693,REGADJPRO5,Years,9fdf5fe3-de1f-42fe-8e73-768ee97c22d5,2023-03-30 21:49:39.688547,2023-03-30 21:49:39.688547
4e736a0f-9014-4919-8f4a-6365c4148c23,0451h2moqz,490.66,2021-04-03 09:00:06.919+00,2021-05-27 08:09:34.622+00,Small Wooden Mouse,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",pflm5,Adjustable Mattress Base Protection Plan,5,693,REGADJPRO5,Years,8f51eb4f-05ca-4a9e-9d8a-b762bfef252c,2023-03-30 21:49:39.690931,2023-03-30 21:49:39.690931
325a35d4-364d-4c90-8f7d-61d3c82dcdb2,5l2sbit01f,386.55,2021-08-08 03:51:24.665+00,2021-05-03 00:31:05.522+00,Gorgeous Frozen Fish,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,52ha0,Adjustable Mattress Base Protection Plan,9,920,REGADJPRO10,Years,5656c6c7-b35a-41f8-8f4c-f876cd713e15,2023-03-30 21:49:39.692137,2023-03-30 21:49:39.692137
1261ce76-21df-42aa-96d6-6ca4684d2cdd,31pg8wlhss,768.69,2022-02-14 18:44:10.47+00,2021-08-05 13:50:34.059+00,Small Metal Keyboard,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,0ngzk,Furniture Protection Plan,3,446,REGFURNPRO,Years,af117b7a-5b5a-4636-b143-16b7e80e99ad,2023-03-30 21:49:39.693286,2023-03-30 21:49:39.693286
7d864a27-3c61-459f-beea-67e6bd52d296,0mc3vju6py,369.32,2022-02-16 14:06:01.546+00,2021-05-06 21:47:27.395+00,Small Metal Keyboard,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,0ngzk,Adjustable King Mattress Base Protection Plan,6,484,REGKADJPRO5,Years,807ebdb7-041d-413c-8eaf-ee9d224ed62f,2023-03-30 21:49:39.694413,2023-03-30 21:49:39.694413
aacf5cbe-fef3-4680-8e32-297257142d44,0lpy9pu3d1,658.48,2021-05-26 00:06:18.081+00,2021-02-16 23:54:41.397+00,Generic Soft Car,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",b1mbi,Adjustable Mattress Base Protection Plan,9,920,REGADJPRO10,Years,e47c9bb2-1363-4aee-ad1b-41c6ebb9ba4a,2023-03-30 21:49:39.695701,2023-03-30 21:49:39.695701
24cd32f9-2bf4-4016-b4b1-f6e12b4d4f8f,7sqcuuaeip,693.99,2022-04-16 19:42:33.948+00,2021-02-25 11:44:34.259+00,Gorgeous Bronze Bike,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",5t0f3,Adjustable Mattress Base Protection Plan,9,920,REGADJPRO10,Years,a59baf98-7d72-4f3b-ab20-cb3a9b675eb7,2023-03-30 21:49:39.696864,2023-03-30 21:49:39.696864
92f267da-d64e-4096-85d4-322780963cac,ve5xg3z5a5,989.86,2021-12-18 02:00:59.815+00,2021-08-25 03:49:11.649+00,Incredible Steel Mouse,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,n2f7c,Adjustable Mattress Base Protection Plan,9,920,REGADJPRO10,Years,13b0a780-62ab-47c8-a2e8-171c6613dc54,2023-03-30 21:49:39.697943,2023-03-30 21:49:39.697943
ec21a561-b3e0-4414-a433-e3623aac629c,rsik48nbm8,460.17,2021-12-20 19:36:27.94+00,2022-03-16 20:22:44.301+00,Oriental Fresh Gloves,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,v6j9p,Adjustable King Mattress Base Protection Plan,6,146,REGKADJPRO10,Years,6625c8fb-7f50-4ec5-b0e9-5349a9588bfb,2023-03-30 21:49:39.699002,2023-03-30 21:49:39.699002
bf22f878-3061-4886-ad3a-4e03d7917793,3e5ptinkub,330.47,2022-02-17 15:15:56.631+00,2021-02-14 00:14:35.063+00,Electronic Frozen Salad,The Football Is Good For Training And Recreational Purposes,6fohk,Adjustable Mattress Base Protection Plan,5,693,REGADJPRO5,Years,3320b05c-29d4-49e3-8107-080a951c7f4f,2023-03-30 21:49:39.700146,2023-03-30 21:49:39.700146
555f5aa2-1e81-4d01-bed6-f7d34fce4750,bh72p3sub4,825.4,2022-05-14 14:21:43.849+00,2021-05-15 18:20:33.492+00,Handcrafted Cotton Chair,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",7x7yv,Outdoor Furniture Protection Plan,5,347,REGOUTDRF,Years,9efbaed7-29f4-4844-9f76-ddf57041f111,2023-03-30 21:49:39.701241,2023-03-30 21:49:39.701241
bcf0bdb4-8d6e-4575-962f-8a62562603e4,7sp5htqqhb,355.6,2021-02-12 06:50:50.245+00,2021-08-26 09:04:02.928+00,Recycled Wooden Soap,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",oo04l,Adjustable King Mattress Base Protection Plan,6,484,REGKADJPRO5,Years,49947f66-8d3f-4379-b096-126cb88c3c62,2023-03-30 21:49:39.702357,2023-03-30 21:49:39.702357
1be9ab47-44f3-45d1-b7de-f4736aeb9caf,1er1ldr096,195.5,2021-05-22 21:37:16.653+00,2022-03-06 06:26:13.585+00,Bespoke Cotton Fish,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,xrmj0,Outdoor Furniture Protection Plan,5,347,REGOUTDRF,Years,7dc67635-4355-40de-9a65-1d18f6ac5065,2023-03-30 21:49:39.70345,2023-03-30 21:49:39.70345
068d8f3f-6cd7-4e23-83ec-18dc3593faf4,td1s1ymgtk,714.68,2021-09-11 09:29:41.271+00,2021-09-27 22:32:26.187+00,Licensed Fresh Chair,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,h3h59,Furniture Protection Plan,7,9,REGRUGPRO,Years,cb54f98d-1ea3-4369-88fd-3c05259f956c,2023-03-30 21:49:39.704515,2023-03-30 21:49:39.704515
54a307dd-0ef0-45d2-8af7-411ad8f24faa,2sftw2paj6,157.28,2022-02-08 10:52:31.217+00,2021-10-21 23:34:59.361+00,Gorgeous Plastic Sausages,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,nx5yr,Adjustable King Mattress Base Protection Plan,6,146,REGKADJPRO10,Years,f6750b9e-bbba-487c-a209-d12144836daa,2023-03-30 21:49:39.705578,2023-03-30 21:49:39.705578
ccda756d-68c8-4875-8e6e-e1f88d0b8e9e,yc27fbmt7t,484.31,2022-01-19 01:07:12.419+00,2021-05-01 00:12:54.621+00,Fantastic Fresh Bike,The Football Is Good For Training And Recreational Purposes,x1m57,Furniture Protection Plan,3,446,REGFURNPRO,Years,2f70be4d-9c7c-4a0c-85aa-89bfed6a5a7b,2023-03-30 21:49:39.706705,2023-03-30 21:49:39.706705
8f766d50-4421-490b-964e-24ef09565bec,uu1567grfe,894.8,2021-06-19 08:52:15.439+00,2021-08-24 06:06:48.154+00,Oriental Granite Pants,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,z1nr3,Outdoor Furniture Protection Plan,5,347,REGOUTDRF,Years,7965ff27-bf13-4990-b762-f337b567873c,2023-03-30 21:49:39.707823,2023-03-30 21:49:39.707823
e0644e94-3cbd-4841-a063-9ef49d2d2250,ifn3763y0m,580.17,2022-04-02 18:40:51.291+00,2021-09-10 13:51:45.422+00,Electronic Cotton Table,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",n40px,Furniture Protection Plan,3,446,REGFURNPRO,Years,959e6ce0-bb81-4630-9375-cee923bf1fd2,2023-03-30 21:49:39.708927,2023-03-30 21:49:39.708927
407281bf-57d5-4990-88b1-8560732e9a89,e2idbqtlt9,322.37,2021-03-12 15:01:59.333+00,2021-01-30 10:55:35.035+00,Incredible Soft Chicken,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",xzwaa,Outdoor Furniture Protection Plan,5,347,REGOUTDRF,Years,6a133281-553e-41ba-994d-61744d5bd384,2023-03-30 21:49:39.710026,2023-03-30 21:49:39.710026
fb99b4b2-1749-46e3-a208-81001cc06c54,0inbyu2ov0,716.66,2021-08-23 14:09:57.326+00,2021-03-03 08:40:36.37+00,Handmade Rubber Chicken,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,borde,Adjustable King Mattress Base Protection Plan,6,484,REGKADJPRO5,Years,1dca933e-a4b3-49ad-900e-36ad1f86dfe0,2023-03-30 21:49:39.711149,2023-03-30 21:49:39.711149
f12e47ef-14b9-4c2b-a654-30c8d534a793,lz6o4cw1ch,129.59,2021-08-12 11:35:35.434+00,2021-11-15 10:28:15.128+00,Awesome Soft Chair,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,ruuky,Furniture Protection Plan,7,9,REGRUGPRO,Years,39960e0e-cd5f-4a90-a1aa-3323853981a7,2023-03-30 21:49:39.712249,2023-03-30 21:49:39.712249
eb2b33f7-fa0a-463b-bac8-0d1c6fa1c8c7,wtsmbtmj4r,764.04,2022-01-23 01:06:55.446+00,2021-12-01 15:15:19.692+00,Oriental Steel Tuna,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",7fu3h,Outdoor Furniture Protection Plan,5,347,REGOUTDRF,Years,7eba7acb-9b5f-457d-a564-8f77c24190c9,2023-03-30 21:49:39.713487,2023-03-30 21:49:39.713487
afa3359b-6276-4c5b-889f-a5b332e37fa7,cbp2f9xptq,258.79,2021-06-07 14:17:26.614+00,2022-05-17 15:24:34.26+00,Incredible Cotton Cheese,The Football Is Good For Training And Recreational Purposes,zlcqn,Adjustable Mattress Base Protection Plan,5,693,REGADJPRO5,Years,60efe135-13de-463a-ba54-c4da104b9411,2023-03-30 21:49:39.714571,2023-03-30 21:49:39.714571
